catalog_id,work_id,title,author,alternate_titles,author_aliases,edition,contains_work_ids,notes
1,dune,Dune,Frank Herbert,,,Ace 1990,,Edition trap - same work as catalog_id 2
2,dune,Dune,Frank Herbert,,,Penguin 2010,,Edition trap - same work as catalog_id 1
3,philosophers_stone,Harry Potter and the Philosopher's Stone,J.K. Rowling,Harry Potter and the Sorcerer's Stone,"Rowling, J.K.|Joanne Rowling|J K Rowling",Bloomsbury 1997,,US/UK title variant trap
4,northern_lights,Northern Lights,Philip Pullman,The Golden Compass,,Scholastic 1995,,US/UK title variant trap
5,home_coben,Home,Harlan Coben,,,Century 2016,,Same title trap - different work from catalog_id 6
6,home_morrison,Home,Toni Morrison,,,Knopf 2012,,Same title trap - different work from catalog_id 5
7,gift_steel,The Gift,Danielle Steel,,,Delacorte 1994,,Same title trap - different work from catalog_id 8
8,gift_hafiz,The Gift,Hafiz,,,Penguin 1999,,Same title trap - different work from catalog_id 7
9,dune_messiah,Dune Messiah,Frank Herbert,,,Ace 1969,,Substring trap - contains 'Dune' but different work
10,children_of_dune,Children of Dune,Frank Herbert,,,Berkley 1976,,Substring trap - contains 'Dune' but different work
11,fellowship_ring,The Fellowship of the Ring,J.R.R. Tolkien,,"Tolkien, J.R.R.|John Ronald Reuel Tolkien|J R R Tolkien",Houghton Mifflin 1954,,Component of omnibus catalog_id 14
12,two_towers,The Two Towers,J.R.R. Tolkien,,"Tolkien, J.R.R.|John Ronald Reuel Tolkien|J R R Tolkien",Houghton Mifflin 1954,,Component of omnibus catalog_id 14
13,return_king,The Return of the King,J.R.R. Tolkien,,"Tolkien, J.R.R.|John Ronald Reuel Tolkien|J R R Tolkien",Houghton Mifflin 1955,,Component of omnibus catalog_id 14
14,lotr_omnibus,The Lord of the Rings,J.R.R. Tolkien,,"Tolkien, J.R.R.|John Ronald Reuel Tolkien|J R R Tolkien",Houghton Mifflin 2005,fellowship_ring|two_towers|return_king,Omnibus trap - contains individual volumes
15,subtle_knife,The Subtle Knife,Philip Pullman,,,Scholastic 1997,,Component of omnibus catalog_id 17
16,amber_spyglass,The Amber Spyglass,Philip Pullman,,,Scholastic 2000,,Component of omnibus catalog_id 17
17,hdm_omnibus,His Dark Materials,Philip Pullman,,,Everyman 2011,northern_lights|subtle_knife|amber_spyglass,Omnibus trap - contains individual volumes
18,1984,1984,George Orwell,Nineteen Eighty-Four,"Orwell, George|Eric Blair",Signet 1950,,Popular classic
19,chamber_secrets,Harry Potter and the Chamber of Secrets,J.K. Rowling,,"Rowling, J.K.|Joanne Rowling|J K Rowling",Bloomsbury 1998,,Popular series
20,prisoner_azkaban,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,,"Rowling, J.K.|Joanne Rowling|J K Rowling",Bloomsbury 1999,,Popular series
21,goblet_fire,Harry Potter and the Goblet of Fire,J.K. Rowling,,"Rowling, J.K.|Joanne Rowling|J K Rowling",Bloomsbury 2000,,Popular series
22,order_phoenix,Harry Potter and the Order of the Phoenix,J.K. Rowling,,"Rowling, J.K.|Joanne Rowling|J K Rowling",Bloomsbury 2003,,Popular series
23,half_blood_prince,Harry Potter and the Half-Blood Prince,J.K. Rowling,,"Rowling, J.K.|Joanne Rowling|J K Rowling",Bloomsbury 2005,,Popular series
24,deathly_hallows,Harry Potter and the Deathly Hallows,J.K. Rowling,,"Rowling, J.K.|Joanne Rowling|J K Rowling",Bloomsbury 2007,,Popular series
25,mockingbird,To Kill a Mockingbird,Harper Lee,,,Harper Perennial 1960,,Popular classic
26,gatsby,The Great Gatsby,F. Scott Fitzgerald,,"Fitzgerald, F. Scott|F Scott Fitzgerald",Scribner 1925,,Popular classic
27,pride_prejudice,Pride and Prejudice,Jane Austen,,,Penguin Classics 1813,,Popular classic
28,catcher_rye,The Catcher in the Rye,J.D. Salinger,,"Salinger, J.D.|J D Salinger",Little Brown 1951,,Popular classic
29,hobbit,The Hobbit,J.R.R. Tolkien,,"Tolkien, J.R.R.|John Ronald Reuel Tolkien|J R R Tolkien",Houghton Mifflin 1937,,Popular fantasy
30,handmaids_tale,The Handmaid's Tale,Margaret Atwood,,,McClelland and Stewart 1985,,Popular dystopian
31,brave_new_world,Brave New World,Aldous Huxley,,,Chatto & Windus 1932,,Popular dystopian
32,fahrenheit_451,Fahrenheit 451,Ray Bradbury,,,Ballantine 1953,,Popular dystopian
33,game_thrones,A Game of Thrones,George R.R. Martin,,"Martin, George R.R.|George R R Martin|G.R.R. Martin",Bantam 1996,,Popular fantasy series
34,clash_kings,A Clash of Kings,George R.R. Martin,,"Martin, George R.R.|George R R Martin|G.R.R. Martin",Bantam 1998,,Popular fantasy series
35,storm_swords,A Storm of Swords,George R.R. Martin,,"Martin, George R.R.|George R R Martin|G.R.R. Martin",Bantam 2000,,Popular fantasy series
36,name_wind,The Name of the Wind,Patrick Rothfuss,,,DAW 2007,,Popular fantasy
37,way_kings,The Way of Kings,Brandon Sanderson,,,Tor 2010,,Popular fantasy
38,mistborn,Mistborn: The Final Empire,Brandon Sanderson,The Final Empire,,Tor 2006,,Popular fantasy
39,enders_game,Ender's Game,Orson Scott Card,,,Tor 1985,,Popular sci-fi
40,foundation,Foundation,Isaac Asimov,,,Gnome Press 1951,,Popular sci-fi
41,neuromancer,Neuromancer,William Gibson,,,Ace 1984,,Popular sci-fi
42,snow_crash,Snow Crash,Neal Stephenson,,,Bantam 1992,,Popular sci-fi
43,hitchhikers_guide,The Hitchhiker's Guide to the Galaxy,Douglas Adams,,,Pan 1979,,Popular sci-fi comedy
44,ready_player_one,Ready Player One,Ernest Cline,,,Crown 2011,,Popular sci-fi
45,martian,The Martian,Andy Weir,,,Crown 2014,,Popular sci-fi
46,hunger_games,The Hunger Games,Suzanne Collins,,,Scholastic 2008,,Popular YA
47,catching_fire,Catching Fire,Suzanne Collins,,,Scholastic 2009,,Popular YA
48,mockingjay,Mockingjay,Suzanne Collins,,,Scholastic 2010,,Popular YA
